iter	Logloss
0	0.6384303008
1	0.5972896555
2	0.5626183066
3	0.5359328827
4	0.5144154372
5	0.4978637189
6	0.4844665781
7	0.4737528451
8	0.4646481591
9	0.457851346
10	0.4521472734
11	0.4475160833
12	0.4435109863
13	0.4403263464
14	0.437637857
15	0.4357335228
16	0.4340762622
17	0.4324432459
18	0.4316180365
19	0.430309619
20	0.4287333015
21	0.4276147558
22	0.4267164739
23	0.4258694618
24	0.4250825053
25	0.4244300028
26	0.4237761635
27	0.4232002066
28	0.422619411
29	0.4220634383
30	0.4217498994
31	0.4214534163
32	0.4209118561
33	0.42052848
34	0.4201684064
35	0.4199244447
36	0.4195783
37	0.419111403
38	0.4186946923
39	0.4183203214
40	0.4180356447
41	0.4175407883
42	0.4171951875
43	0.4168254683
44	0.4164761077
45	0.4162690672
46	0.4158535806
47	0.4155185635
48	0.4152641139
49	0.4150021089
50	0.4145854572
51	0.4143115738
52	0.4140353922
53	0.4137270153
54	0.4133604994
55	0.4129762628
56	0.4127553792
57	0.4125567823
58	0.4122653662
59	0.4119917504
60	0.411708624
61	0.4115021405
62	0.4112455595
63	0.4107834038
64	0.4104619676
65	0.4100806329
66	0.4098474643
67	0.4095832616
68	0.409373602
69	0.40897791
70	0.4086858725
71	0.4085311744
72	0.4083164018
73	0.4081264591
74	0.4079837075
75	0.407730399
76	0.4075735807
77	0.407309656
78	0.4071550482
79	0.4066847868
80	0.4064612269
81	0.406243209
82	0.4058827476
83	0.4056901438
84	0.4054680216
85	0.4052681457
86	0.4048861479
87	0.4045582041
88	0.4041831659
89	0.403846901
90	0.4035773577
91	0.4033840574
92	0.4029771544
93	0.402719313
94	0.4024208755
95	0.4021587033
96	0.4017967323
97	0.4013851471
98	0.4010770245
99	0.4009498701
100	0.4006666306
101	0.4006062588
102	0.400433426
103	0.3999834206
104	0.3997886239
105	0.3994945528
106	0.3991698844
107	0.398919653
108	0.3987370127
109	0.3985902221
110	0.398427629
111	0.3980955799
112	0.3977268993
113	0.3973761548
114	0.3970037022
115	0.3966021316
116	0.3965594231
117	0.396369332
118	0.3960306875
119	0.3958771168
120	0.3956549246
121	0.3954792577
122	0.3950895339
123	0.3950152125
124	0.3946280541
125	0.3941804366
126	0.3938511196
127	0.3935861315
128	0.3933794843
129	0.3929893654
130	0.3926346347
131	0.3924566289
132	0.391981866
133	0.3917283159
134	0.391309253
135	0.3909394746
136	0.3907142279
137	0.3903416406
138	0.390044836
139	0.3896873922
140	0.3894172864
141	0.3890581368
142	0.3886944723
143	0.3882729228
144	0.3879488592
145	0.3875323102
146	0.3872208708
147	0.3868495711
148	0.3865392662
149	0.3862408537
150	0.3860818762
151	0.385821045
152	0.3855974637
153	0.3853419849
154	0.3850237818
155	0.3848402271
156	0.3846693598
157	0.3843598641
158	0.3840475765
159	0.383890064
160	0.3837571989
161	0.3834090174
162	0.3830691151
163	0.3827910023
164	0.382562377
165	0.3822709677
166	0.382006186
167	0.3816963609
168	0.3814012153
169	0.3811917958
170	0.3808464531
171	0.3805599834
172	0.3803119086
173	0.3799600862
174	0.379616444
175	0.3792567242
176	0.3789250603
177	0.3786196927
178	0.3785055135
179	0.3780908844
180	0.3776623528
181	0.3774805704
182	0.3772358466
183	0.3769021492
184	0.3766407792
185	0.3765400744
186	0.3761997004
187	0.3760101444
188	0.3756415622
189	0.3752772232
190	0.3749577382
191	0.3746342823
192	0.374443627
193	0.3741562827
194	0.3738650982
195	0.3736570587
196	0.3734025614
197	0.3731639504
198	0.3729719171
199	0.3727745966
200	0.372564309
201	0.3723962393
202	0.3721224925
203	0.3719578472
204	0.3716279472
205	0.3713775426
206	0.3711581377
207	0.3709823445
208	0.3707360689
209	0.3704156356
210	0.3700401596
211	0.3698260528
212	0.3696106149
213	0.3695999174
214	0.3694308741
215	0.3692384172
216	0.368956042
217	0.3687047467
218	0.3685016263
219	0.3683396603
220	0.3680645044
221	0.368039312
222	0.367764653
223	0.367507339
224	0.3672679684
225	0.3670544037
226	0.3668143032
227	0.3666058725
228	0.3662790052
229	0.3660907348
230	0.3658603625
231	0.3655745964
232	0.365449587
233	0.3654469557
234	0.3652354403
235	0.3648988326
236	0.3646307699
237	0.364443986
238	0.3641803775
239	0.3639138408
240	0.3636840241
241	0.3633400876
242	0.3632921175
243	0.3630949945
244	0.362950752
245	0.3627564136
246	0.3626441567
247	0.3624538124
248	0.3622801507
249	0.3620498234
250	0.3617832506
251	0.3615151535
252	0.3613972364
253	0.3613952619
254	0.3610567184
255	0.3609475952
256	0.3607081188
257	0.3604900609
258	0.3602170174
259	0.3600220003
260	0.3599282773
261	0.3598014234
262	0.3594188997
263	0.3590602409
264	0.3588760717
265	0.358669669
266	0.3584801657
267	0.3582776652
268	0.3580150477
269	0.3577734563
270	0.357479105
271	0.3571916033
272	0.357018042
273	0.3568293708
274	0.3565792763
275	0.3563672107
276	0.3561067122
277	0.3559084234
278	0.3557310683
279	0.3554838533
280	0.3551508599
281	0.3549432646
282	0.3546580768
283	0.354508668
284	0.3543242928
285	0.354069928
286	0.3537507047
287	0.3534351768
288	0.3532108796
289	0.3530093925
290	0.3526711119
291	0.3524512465
292	0.3521420036
293	0.3519174782
294	0.3516405313
295	0.3513145785
296	0.3511004183
297	0.3509809549
298	0.3507790757
299	0.3506129551
300	0.3503671779
301	0.3502284305
302	0.3499901939
303	0.3498525039
304	0.349661853
305	0.3494504714
306	0.3492537051
307	0.3489610848
308	0.348657664
309	0.3484565582
310	0.3482867583
311	0.3481138386
312	0.3478216017
313	0.3475269203
314	0.347141904
315	0.3468860707
316	0.3468468268
317	0.3467585561
318	0.3465445203
319	0.3463318731
320	0.3461712891
321	0.3460499274
322	0.3458106595
323	0.3456603655
324	0.3453155197
325	0.3451594128
326	0.344944958
327	0.3447225603
328	0.3446573474
329	0.344616676
330	0.3443409031
331	0.3442676884
332	0.3440522188
333	0.3439195075
334	0.3436244642
335	0.3433136735
336	0.343014108
337	0.3428771955
338	0.3426466721
339	0.3424205788
340	0.3421627333
341	0.3419634937
342	0.3417196736
343	0.341416641
344	0.3413298898
345	0.3411721128
346	0.3409587977
347	0.3407143537
348	0.3405782133
349	0.3403236256
350	0.3402203763
351	0.3401674279
352	0.3400329725
353	0.3399181332
354	0.3397410819
355	0.3395687543
356	0.3393251531
357	0.339078468
358	0.3388326941
359	0.3387090985
360	0.3385562531
361	0.3382811125
362	0.3380895164
363	0.3376892307
364	0.3374470111
365	0.3372752294
366	0.3370352206
367	0.3367795747
368	0.3365279893
369	0.3363332703
370	0.3362007915
371	0.3359813689
372	0.3358400105
373	0.3356092789
374	0.3354381761
375	0.3351770519
376	0.3350451594
377	0.3350130362
378	0.3348455812
379	0.334605465
380	0.3343926255
381	0.3341910043
382	0.3340384156
383	0.3338833003
384	0.3336329297
385	0.3333716157
386	0.3332013631
387	0.3330369558
388	0.3328978067
389	0.3327768956
390	0.3325048993
391	0.3322371869
392	0.3319520515
393	0.3317005843
394	0.331561397
395	0.3313475023
396	0.3312270407
397	0.3310166607
398	0.3309631508
399	0.3306629107
400	0.3304428561
401	0.3302206983
402	0.3300302105
403	0.3298093081
404	0.3296435839
405	0.3293166951
406	0.3291273564
407	0.3289279706
408	0.328681154
409	0.3284342569
410	0.3282626848
411	0.3280543305
412	0.3279438845
413	0.3277410757
414	0.3275234248
415	0.3273839289
416	0.3271481533
417	0.3269423331
418	0.3267503963
419	0.3265610168
420	0.3263987581
421	0.3262067874
422	0.3259592499
423	0.325819143
424	0.3256767712
425	0.3256034648
426	0.3255335394
427	0.3253740388
428	0.3251593198
429	0.3249786903
430	0.3247841752
431	0.3245776866
432	0.3244018319
433	0.3241782469
434	0.3239610422
435	0.3238612577
436	0.323654831
437	0.3234919211
438	0.3231828797
439	0.3229532094
440	0.3227981268
441	0.3226453801
442	0.3225704059
443	0.3223991031
444	0.3221818074
445	0.3219473249
446	0.3217751373
447	0.3215883883
448	0.3215871296
449	0.3213758419
450	0.3211364443
451	0.3209618048
452	0.3207942005
453	0.3206344668
454	0.3204318322
455	0.3202624309
456	0.3200964634
457	0.319965423
458	0.3199634076
459	0.319717112
460	0.3195330941
461	0.3193726438
462	0.3191548837
463	0.3188934214
464	0.3186793541
465	0.3185254493
466	0.3182938661
467	0.3181063472
468	0.3179629086
469	0.3176736388
470	0.3175885012
471	0.3174158086
472	0.3174144188
473	0.3171973162
474	0.3170538164
475	0.3167966653
476	0.3166306565
477	0.3164033589
478	0.3162525053
479	0.3160245724
480	0.3158793071
481	0.3156615122
482	0.3154677546
483	0.3152735813
484	0.3151492162
485	0.3150159223
486	0.314855736
487	0.3146545653
488	0.3145122747
489	0.3143970384
490	0.3142537625
491	0.3142491825
492	0.3141398073
493	0.3141051379
494	0.3138864398
495	0.3137809219
496	0.313584566
497	0.3133937792
498	0.3132538437
499	0.3130562494
