iter	Passed	Remaining
0	164	81992
1	176	44036
2	196	32484
3	214	26615
4	231	22894
5	244	20090
6	253	17829
7	260	15990
8	266	14527
9	271	13318
10	276	12307
11	281	11442
12	285	10710
13	290	10073
14	294	9527
15	299	9051
16	303	8629
17	308	8258
18	311	7881
19	315	7580
20	320	7311
21	325	7064
22	329	6841
23	334	6644
24	339	6458
25	344	6278
26	349	6121
27	354	5980
28	360	5848
29	365	5724
30	370	5602
31	375	5484
32	379	5373
33	384	5268
34	388	5166
35	393	5070
36	398	4982
37	402	4894
38	407	4813
39	411	4732
40	416	4657
41	421	4591
42	425	4520
43	429	4455
44	434	4390
45	438	4329
46	443	4272
47	447	4217
48	452	4164
49	457	4114
50	462	4069
51	467	4025
52	471	3979
53	476	3934
54	480	3891
55	485	3849
56	490	3812
57	495	3776
58	500	3737
59	504	3700
60	509	3666
61	514	3631
62	518	3598
63	523	3566
64	528	3535
65	533	3506
66	537	3476
67	542	3445
68	546	3416
69	551	3388
70	556	3360
71	561	3335
72	565	3307
73	571	3288
74	575	3262
75	581	3243
76	586	3221
77	591	3201
78	596	3180
79	602	3161
80	606	3139
81	611	3117
82	617	3101
83	622	3082
84	627	3063
85	632	3043
86	636	3023
87	641	3003
88	646	2984
89	651	2966
90	655	2947
91	660	2928
92	664	2909
93	669	2891
94	674	2874
95	678	2856
96	683	2839
97	688	2823
98	693	2807
99	697	2789
100	702	2774
101	706	2758
102	711	2742
103	716	2727
104	721	2712
105	726	2699
106	731	2685
107	736	2671
108	740	2656
109	744	2640
110	750	2628
111	755	2617
112	760	2604
113	765	2591
114	770	2578
115	775	2567
116	780	2554
117	784	2541
118	790	2529
119	795	2519
120	800	2507
121	805	2496
122	810	2485
123	815	2472
124	820	2460
125	825	2449
126	830	2438
127	835	2427
128	840	2415
129	844	2404
130	849	2393
131	854	2382
132	859	2372
133	864	2362
134	869	2351
135	874	2341
136	879	2329
137	884	2319
138	889	2308
139	893	2298
140	898	2288
141	903	2278
142	908	2268
143	913	2258
144	918	2249
145	924	2240
146	928	2230
147	933	2221
148	938	2211
149	943	2201
150	948	2192
151	953	2184
152	958	2174
153	963	2165
154	968	2155
155	973	2147
156	978	2137
157	983	2128
158	988	2119
159	992	2110
160	997	2100
161	1002	2091
162	1007	2082
163	1012	2073
164	1016	2064
165	1021	2055
166	1026	2047
167	1031	2039
168	1036	2030
169	1041	2021
170	1045	2011
171	1050	2002
172	1054	1994
173	1059	1985
174	1064	1977
175	1069	1968
176	1074	1960
177	1079	1951
178	1083	1942
179	1088	1935
180	1093	1926
181	1098	1918
182	1102	1910
183	1107	1902
184	1112	1894
185	1116	1885
186	1121	1877
187	1126	1868
188	1130	1860
189	1135	1852
190	1140	1844
191	1144	1836
192	1149	1828
193	1155	1822
194	1160	1815
195	1165	1807
196	1169	1798
197	1174	1790
198	1178	1782
199	1182	1774
200	1187	1766
201	1192	1759
202	1197	1752
203	1202	1744
204	1207	1737
205	1211	1729
206	1216	1721
207	1220	1714
208	1225	1706
209	1230	1699
210	1235	1691
211	1239	1683
212	1244	1676
213	1248	1668
214	1253	1661
215	1257	1653
216	1262	1646
217	1267	1639
218	1271	1631
219	1276	1624
220	1281	1617
221	1285	1609
222	1290	1602
223	1295	1595
224	1299	1588
225	1304	1581
226	1309	1574
227	1313	1567
228	1318	1560
229	1323	1553
230	1327	1546
231	1332	1539
232	1337	1532
233	1341	1524
234	1345	1517
235	1350	1510
236	1355	1504
237	1360	1497
238	1364	1490
239	1369	1484
240	1374	1477
241	1379	1470
242	1383	1463
243	1388	1456
244	1392	1449
245	1397	1443
246	1402	1436
247	1407	1429
248	1411	1422
249	1416	1416
250	1421	1409
251	1425	1403
252	1430	1396
253	1434	1389
254	1439	1382
255	1444	1376
256	1449	1370
257	1453	1363
258	1458	1357
259	1463	1350
260	1468	1344
261	1472	1338
262	1477	1331
263	1482	1325
264	1487	1319
265	1492	1312
266	1497	1306
267	1501	1300
268	1506	1293
269	1511	1287
270	1516	1281
271	1520	1274
272	1525	1268
273	1529	1261
274	1534	1255
275	1539	1249
276	1544	1243
277	1550	1237
278	1554	1231
279	1559	1225
280	1564	1219
281	1569	1213
282	1574	1206
283	1578	1200
284	1583	1194
285	1588	1188
286	1593	1182
287	1598	1176
288	1602	1170
289	1607	1164
290	1612	1158
291	1617	1152
292	1622	1146
293	1627	1140
294	1632	1134
295	1636	1128
296	1641	1121
297	1645	1115
298	1650	1109
299	1655	1103
300	1660	1097
301	1664	1091
302	1669	1085
303	1673	1079
304	1678	1072
305	1682	1066
306	1688	1061
307	1692	1055
308	1697	1049
309	1702	1043
310	1706	1037
311	1711	1031
312	1715	1025
313	1720	1019
314	1725	1013
315	1730	1007
316	1735	1001
317	1739	995
318	1744	989
319	1749	984
320	1754	978
321	1759	972
322	1764	966
323	1768	960
324	1773	954
325	1778	949
326	1782	943
327	1787	937
328	1792	931
329	1796	925
330	1801	919
331	1806	914
332	1811	908
333	1816	902
334	1821	897
335	1826	891
336	1830	885
337	1835	879
338	1839	873
339	1844	867
340	1849	862
341	1854	856
342	1859	851
343	1864	845
344	1868	839
345	1873	833
346	1878	828
347	1883	822
348	1888	816
349	1892	811
350	1897	805
351	1901	799
352	1906	793
353	1910	788
354	1915	782
355	1920	776
356	1925	771
357	1929	765
358	1934	759
359	1939	754
360	1943	748
361	1948	742
362	1953	737
363	1958	731
364	1962	725
365	1967	720
366	1972	714
367	1977	709
368	1982	703
369	1987	698
370	1991	692
371	1996	686
372	2000	681
373	2005	675
374	2010	670
375	2015	664
376	2019	658
377	2024	653
378	2028	647
379	2034	642
380	2038	636
381	2043	631
382	2048	625
383	2053	620
384	2058	614
385	2063	609
386	2067	603
387	2072	598
388	2077	592
389	2082	587
390	2087	581
391	2092	576
392	2097	571
393	2102	565
394	2107	560
395	2112	554
396	2117	549
397	2122	543
398	2126	538
399	2132	533
400	2136	527
401	2141	522
402	2146	516
403	2151	511
404	2157	505
405	2162	500
406	2167	495
407	2172	489
408	2176	484
409	2181	478
410	2186	473
411	2191	468
412	2196	462
413	2201	457
414	2206	451
415	2211	446
416	2216	441
417	2220	435
418	2225	430
419	2230	424
420	2235	419
421	2241	414
422	2245	408
423	2250	403
424	2255	398
425	2259	392
426	2264	387
427	2269	381
428	2274	376
429	2279	371
430	2284	365
431	2288	360
432	2293	354
433	2298	349
434	2303	344
435	2308	338
436	2313	333
437	2318	328
438	2323	322
439	2327	317
440	2332	312
441	2337	306
442	2342	301
443	2347	296
444	2353	290
445	2358	285
446	2363	280
447	2368	274
448	2371	269
449	2376	264
450	2381	258
451	2386	253
452	2390	248
453	2395	242
454	2400	237
455	2405	232
456	2410	226
457	2414	221
458	2419	216
459	2423	210
460	2428	205
461	2432	200
462	2437	194
463	2442	189
464	2447	184
465	2452	178
466	2457	173
467	2463	168
468	2468	163
469	2474	157
470	2479	152
471	2484	147
472	2488	142
473	2493	136
474	2498	131
475	2503	126
476	2507	120
477	2512	115
478	2517	110
479	2522	105
480	2526	99
481	2531	94
482	2536	89
483	2541	84
484	2546	78
485	2550	73
486	2555	68
487	2560	62
488	2565	57
489	2569	52
490	2574	47
491	2578	41
492	2583	36
493	2587	31
494	2592	26
495	2597	20
496	2602	15
497	2607	10
498	2611	5
499	2616	0
