iter	Passed	Remaining
0	24	12448
1	36	9193
2	47	7895
3	56	6953
4	63	6335
5	69	5755
6	75	5333
7	80	4968
8	87	4747
9	92	4546
10	98	4379
11	103	4201
12	108	4062
13	114	3957
14	119	3860
15	124	3776
16	130	3695
17	135	3628
18	142	3596
19	147	3540
20	153	3505
21	159	3457
22	164	3406
23	171	3395
24	176	3347
25	181	3310
26	186	3272
27	192	3236
28	197	3204
29	202	3176
30	208	3148
31	213	3125
32	219	3102
33	225	3084
34	230	3062
35	235	3040
36	241	3018
37	246	2998
38	251	2977
39	257	2963
40	263	2953
41	269	2937
42	274	2916
43	279	2899
44	285	2882
45	290	2863
46	295	2843
47	300	2831
48	306	2817
49	310	2798
50	315	2780
51	321	2765
52	326	2753
53	332	2744
54	337	2731
55	342	2717
56	348	2706
57	353	2695
58	359	2685
59	364	2676
60	370	2663
61	375	2652
62	380	2639
63	385	2625
64	390	2615
65	397	2616
66	404	2611
67	410	2604
68	415	2594
69	424	2610
70	431	2605
71	438	2604
72	444	2600
73	453	2608
74	459	2604
75	464	2592
76	470	2583
77	475	2574
78	481	2566
79	487	2557
80	493	2551
81	499	2546
82	505	2541
83	511	2533
84	517	2525
85	523	2520
86	529	2512
87	534	2503
88	540	2495
89	545	2487
90	551	2479
91	557	2472
92	564	2468
93	571	2468
94	580	2473
95	587	2472
96	595	2474
97	603	2476
98	610	2472
99	618	2473
100	626	2474
101	634	2474
102	641	2471
103	648	2468
104	655	2466
105	661	2457
106	666	2447
107	672	2442
108	677	2431
109	683	2424
110	690	2420
111	695	2410
112	701	2403
113	707	2394
114	712	2385
115	718	2379
116	724	2372
117	730	2365
118	736	2357
119	741	2349
120	747	2342
121	753	2335
122	760	2332
123	766	2324
124	771	2315
125	777	2307
126	783	2300
127	788	2291
128	794	2284
129	799	2276
130	805	2268
131	811	2261
132	816	2253
133	821	2243
134	826	2235
135	832	2227
136	837	2219
137	843	2211
138	849	2206
139	854	2198
140	860	2191
141	866	2183
142	871	2176
143	877	2169
144	883	2162
145	888	2154
146	894	2147
147	899	2139
148	904	2131
149	910	2123
150	915	2115
151	920	2106
152	925	2098
153	930	2090
154	935	2082
155	940	2074
156	945	2065
157	951	2059
158	956	2051
159	962	2044
160	967	2036
161	972	2028
162	977	2020
163	983	2015
164	989	2008
165	994	2001
166	1000	1994
167	1005	1986
168	1010	1978
169	1015	1971
170	1020	1963
171	1025	1955
172	1030	1947
173	1035	1940
174	1040	1933
175	1045	1925
176	1050	1917
177	1056	1911
178	1061	1904
179	1067	1897
180	1072	1890
181	1077	1883
182	1083	1876
183	1088	1869
184	1094	1863
185	1099	1855
186	1104	1848
187	1109	1841
188	1115	1834
189	1120	1828
190	1126	1821
191	1131	1814
192	1136	1807
193	1142	1801
194	1147	1794
195	1152	1788
196	1158	1781
197	1163	1774
198	1168	1766
199	1173	1759
200	1179	1753
201	1184	1747
202	1189	1740
203	1195	1734
204	1200	1727
205	1205	1720
206	1210	1713
207	1215	1706
208	1220	1699
209	1226	1693
210	1231	1686
211	1237	1680
212	1242	1674
213	1248	1668
214	1254	1663
215	1260	1657
216	1265	1650
217	1271	1644
218	1277	1639
219	1283	1633
220	1288	1627
221	1294	1620
222	1300	1614
223	1305	1608
224	1311	1603
